Array #    QuickSort    MergeSort    HeapSort     InsertionSort
============================================================
1          0.000286     0.000071     0.000102     0.000007    
2          0.000198     0.000067     0.000082     0.000254    
3          0.000191     0.000067     0.000092     0.000067
4          0.000170     0.000066     0.000093     0.000035
5          0.000109     0.000064     0.000088     0.000124
6          0.000038     0.000072     0.000091     0.000120
7          0.000043     0.000073     0.000090     0.000155
8          0.000072     0.000077     0.000093     0.000154
9          0.000040     0.000074     0.000123     0.000208
10         0.000040     0.000074     0.000138     0.000137
============================================================
Average    0.000119     0.000070     0.000099     0.000126
