Type       Size   | BFS      DFS      | Dijkstra   Floyd-Warshall   | Kruskal    Prim
----------------------------------------------------------------------------------------------------
complete   10     | 0.000018 0.000010 | 0.000021   0.000150         | 0.000036   0.000038
complete   25     | 0.000028 0.000031 | 0.000067   0.001647         | 0.000191   0.000227
complete   50     | 0.000093 0.000098 | 0.000234   0.013172         | 0.000931   0.001120
complete   100    | 0.000405 0.000327 | 0.001064   0.097512         | 0.003169   0.004808
complete   200    | 0.001542 0.001471 | 0.005049   0.793611         | 0.012383   0.024485
complete   400    | 0.006900 0.006439 | 0.015731   6.102134         | 0.055565   0.125589  
sparse     10     | 0.000014 0.000010 | 0.000014   0.000114         | 0.000043   0.000044  
sparse     25     | 0.000013 0.000019 | 0.000058   0.001599         | 0.000036   0.000055  
sparse     50     | 0.000018 0.000026 | 0.000040   0.013841         | 0.000118   0.000192  
sparse     100    | 0.000069 0.000103 | 0.000200   0.104000         | 0.000406   0.000608  
sparse     200    | 0.000172 0.000181 | 0.000435   0.820470         | 0.001252   0.001981  
sparse     400    | 0.001251 0.000749 | 0.001772   6.206496         | 0.004984   0.008632  
dense      10     | 0.000016 0.000010 | 0.000018   0.000133         | 0.000025   0.000024  
dense      25     | 0.000024 0.000028 | 0.000047   0.001458         | 0.000136   0.000175  
dense      50     | 0.000069 0.000077 | 0.000160   0.012849         | 0.000549   0.000868  
dense      100    | 0.000260 0.000259 | 0.000809   0.099291         | 0.002424   0.004048  
dense      200    | 0.001122 0.001098 | 0.003595   0.809946         | 0.010617   0.018869  
dense      400    | 0.005834 0.005528 | 0.012526   6.335234         | 0.045980   0.096518  
tree       10     | 0.000010 0.000008 | 0.000014   0.000136         | 0.000024   0.000019  
tree       25     | 0.000011 0.000011 | 0.000017   0.001785         | 0.000022   0.000023  
tree       50     | 0.000028 0.000031 | 0.000029   0.015588         | 0.000060   0.000084
tree       100    | 0.000045 0.000035 | 0.000104   0.122430         | 0.000077   0.000105  
tree       200    | 0.000043 0.000053 | 0.000104   0.858482         | 0.000138   0.000232  
tree       400    | 0.000094 0.000102 | 0.000208   6.581588         | 0.000575   0.000528  
bipartite  10     | 0.000007 0.000007 | 0.000011   0.000147         | 0.000012   0.000010  
bipartite  25     | 0.000014 0.000021 | 0.000053   0.001814         | 0.000057   0.000063
bipartite  50     | 0.000048 0.000049 | 0.000076   0.012951         | 0.000196   0.000305  
bipartite  100    | 0.000114 0.000125 | 0.000272   0.110689         | 0.000872   0.001439  
bipartite  200    | 0.000361 0.000365 | 0.001024   0.844824         | 0.003026   0.005329  
bipartite  400    | 0.002487 0.002482 | 0.006114   6.562632         | 0.014321   0.030543  
cyclic     10     | 0.000008 0.000014 | 0.000016   0.000132         | 0.000021   0.000017  
cyclic     25     | 0.000012 0.000012 | 0.000021   0.002019         | 0.000028   0.000035
cyclic     50     | 0.000014 0.000017 | 0.000030   0.012723         | 0.000052   0.000076  
cyclic     100    | 0.000041 0.000039 | 0.000051   0.114756         | 0.000136   0.000170  
cyclic     200    | 0.000067 0.000073 | 0.000144   0.860615         | 0.000241   0.000533  
cyclic     400    | 0.000131 0.000136 | 0.000287   8.758523         | 0.000762   0.000989  
acyclic    10     | 0.000008 0.000007 | 0.000012   0.000218         | 0.000015   0.000009  
acyclic    25     | 0.000006 0.000006 | 0.000014   0.002821         | 0.000059   0.000067
acyclic    50     | 0.000038 0.000044 | 0.000142   0.027215         | 0.000226   0.000270  
acyclic    100    | 0.000105 0.000127 | 0.000245   0.191004         | 0.000828   0.001148  
acyclic    200    | 0.000346 0.000355 | 0.000832   1.551574         | 0.003322   0.004767  
acyclic    400    | 0.002008 0.001596 | 0.004033   11.906310        | 0.014678   0.023691  
grid       10     | 0.000014 0.000009 | 0.000017   0.000163         | 0.000022   0.000016  
grid       25     | 0.000022 0.000017 | 0.000036   0.003133         | 0.000051   0.000048
grid       50     | 0.000021 0.000025 | 0.000105   0.023263         | 0.000194   0.000141  
grid       100    | 0.000042 0.000056 | 0.000093   0.185739         | 0.000222   0.000277  
grid       200    | 0.000073 0.000120 | 0.000182   1.378649         | 0.000454   0.000526  
grid       400    | 0.000157 0.000190 | 0.000404   7.056158         | 0.000675   0.000977 
